ID,Title,Vote Average,Date,Original Language,Genre IDs,IsMovie
1156255,The Engineer,6.5,2023-08-18,en,"[28, 53]",True
766507,Prey,7.7,2022-08-02,en,"[53, 28, 878]",True
734253,Adipurush,5.2,2023-06-16,hi,"[28, 12, 18, 14]",True
1020006,Priscilla,7,2023-10-27,en,"[10749, 18]",True
697843,Extraction 2,7.5,2023-06-09,en,"[28, 53]",True
459003,Mavka: The Forest Song,7.3,2023-03-02,uk,"[16, 12, 10751, 14]",True
840326,Sisu,7.5,2023-01-27,fi,"[28, 10752, 37]",True
360920,The Grinch,6.8,2018-11-08,en,"[16, 10751, 35, 14]",True
1146143,The Puppetman,4.8,2023-12-22,en,[27],True
1171541,Sniper: G.R.I.T. - Global Response & Intelligence Team,6.9,2023-09-26,en,"[28, 53]",True
1174725,Race to the Summit,7.1,2023-10-04,de,"[99, 28, 12]",True
850880,Sayen: Desert Road,6.3,2023-10-19,es,"[28, 53]",True
934194,Slash/Back,6.6,2022-06-24,en,"[878, 28, 53, 27]",True
116776,Dragon Ball: Mystical Adventure,6.8,1988-07-09,ja,"[28, 16]",True
958006,The Kill Room,6.3,2023-09-14,en,"[53, 35, 80]",True
131631,The Hunger Games: Mockingjay - Part 1,6.8,2014-11-19,en,"[878, 12, 53]",True
1113278,It's a Wonderful Knife,5.3,2023-11-10,en,"[27, 35]",True
1001884,Dashing Through the Snow,6.4,2023-11-17,en,"[14, 10751, 35]",True
672,Harry Potter and the Chamber of Secrets,7.7,2002-11-13,en,"[12, 14]",True
120,The Lord of the Rings: The Fellowship of the Ring,8.4,2001-12-18,en,"[12, 14, 28]",True
787761,Oracle,7,2023-10-01,en,[27],True
1039960,Monster High 2,7.3,2023-10-05,en,"[10751, 14, 878, 10770]",True
1206029,"Muchachos, la película de la gente",6.6,2023-12-07,es,[99],True
1083862,Resident Evil: Death Island,7.5,2023-06-22,ja,"[16, 28, 27]",True
1006462,The Flood,6.7,2023-07-14,en,"[28, 9648, 53, 27]",True
505642,Black Panther: Wakanda Forever,7.2,2022-11-09,en,"[28, 12, 878]",True
157336,Interstellar,8.4,2014-11-05,en,"[12, 18, 878]",True
674,Harry Potter and the Goblet of Fire,7.8,2005-11-16,en,"[12, 14]",True
755401,Skydog,6.7,2020-10-20,en,"[28, 18, 12, 9648, 53]",True
455476,Knights of the Zodiac,6.6,2023-04-27,en,"[14, 28, 12]",True
361743,Top Gun: Maverick,8.2,2022-05-24,en,"[28, 18]",True
1040148,"Ruby Gillman, Teenage Kraken",7.4,2023-06-28,en,"[16, 10751, 14, 35]",True
866398,The Beekeeper,8.8,2024-01-11,en,"[28, 53]",True
122917,The Hobbit: The Battle of the Five Armies,7.3,2014-12-10,en,"[28, 12, 14]",True
868759,Ghosted,7,2023-04-18,en,"[28, 35, 10749]",True
1047925,Come Out Fighting,5.2,2023-05-19,en,"[10752, 18, 28]",True
982932,Shrapnel,6.2,2023-07-28,en,"[28, 53, 18]",True
508947,Turning Red,7.4,2022-03-10,en,"[16, 10751, 35, 14]",True
985939,Fall,7.2,2022-08-11,en,[53],True
493529,Dungeons & Dragons: Honor Among Thieves,7.4,2023-03-23,en,"[12, 14, 35]",True
614479,Insidious: The Red Door,6.7,2023-07-05,en,"[27, 9648, 53]",True
673,Harry Potter and the Prisoner of Azkaban,8,2004-05-31,en,"[12, 14]",True
1058694,Radical,7.6,2023-10-19,en,[18],True
198663,The Maze Runner,7.2,2014-09-10,en,"[28, 9648, 878, 53]",True
1156593,Your Fault,0,,es,"[18, 10749]",True
760104,X,6.8,2022-03-17,en,"[27, 53, 9648]",True
767,Harry Potter and the Half-Blood Prince,7.7,2009-07-15,en,"[12, 14]",True
675,Harry Potter and the Order of the Phoenix,7.7,2007-07-08,en,"[12, 14]",True
882569,Guy Ritchie's The Covenant,7.8,2023-04-19,en,"[10752, 28, 53]",True
536437,Hypnotic,6.4,2023-05-11,en,"[9648, 53, 28, 878]",True
716263,Sister-in-law's Taste,6.6,2020-06-10,ko,"[18, 10749]",True
675353,Sonic the Hedgehog 2,7.5,2022-03-30,en,"[28, 12, 10751, 35]",True
936059,The Naughty Nine,6.2,2023-11-22,en,"[10751, 12, 35, 10770, 80]",True
1163045,Jagun Jagun,6.6,2023-08-10,yo,"[28, 18]",True
700391,65,6.1,2023-03-02,en,"[878, 28, 12]",True
1022789,Inside Out 2,0,2024-06-13,en,"[16, 10751, 18, 35]",True
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",7.1,2005-12-07,en,"[12, 10751, 14]",True
532961,Looking for Magical Doremi,6.4,2020-11-13,ja,"[16, 35, 12, 14]",True
536554,M3GAN,7.2,2022-12-28,en,"[878, 27]",True
758323,The Pope's Exorcist,7.1,2023-04-05,en,"[27, 53]",True
840430,The Holdovers,7.7,2023-10-27,en,"[35, 18]",True
19995,Avatar,7.6,2009-12-15,en,"[28, 12, 14, 878]",True
951546,Reign of Chaos,6,2022-04-12,en,"[28, 27, 14]",True
1081400,The Mill,6.5,2023-10-09,en,"[878, 27]",True
1172009,The Black Book,6.9,2023-09-22,en,"[9648, 53, 28]",True
790493,Spy Kids: Armageddon,6.4,2023-09-22,en,"[10751, 35, 28, 12, 878]",True
979275,Mob Land,5.7,2023-08-04,en,"[28, 80, 53]",True
1061181,Kingdom 3: The Flame of Fate,7.5,2023-07-28,ja,"[28, 12, 10752]",True
920081,Megaboa,6.5,2021-11-26,en,"[28, 27, 878]",True
507086,Jurassic World Dominion,6.7,2022-06-01,en,"[12, 28, 878]",True
997391,RDX: Robert Dony Xavier,7,2023-08-25,ml,"[28, 18]",True
414906,The Batman,7.7,2022-03-01,en,"[80, 9648, 53]",True
713704,Evil Dead Rise,7,2023-04-12,en,"[27, 53]",True
974931,Totally Killer,7,2023-09-28,en,"[35, 27, 878]",True
568124,Encanto,7.6,2021-10-13,en,"[16, 35, 10751, 14]",True
278,The Shawshank Redemption,8.7,1994-09-23,en,"[18, 80]",True
12444,Harry Potter and the Deathly Hallows: Part 1,7.8,2010-11-17,en,"[12, 14]",True
972433,Race for Glory: Audi vs Lancia,5.3,2024-01-05,en,"[18, 53]",True
594767,Shazam! Fury of the Gods,6.6,2023-03-15,en,"[35, 28, 14]",True
698508,Redeeming Love,7.9,2022-01-21,en,"[10749, 18, 37]",True
830764,Pet Sematary: Bloodlines,6.1,2023-09-23,en,[27],True
661374,Glass Onion: A Knives Out Mystery,7.1,2022-11-12,en,"[35, 80, 9648]",True
118,Charlie and the Chocolate Factory,7,2005-07-13,en,"[12, 35, 10751, 14]",True
156022,The Equalizer,7.3,2014-09-24,en,"[53, 28, 80]",True
296096,Me Before You,7.9,2016-06-01,en,"[18, 10749]",True
75780,Jack Reacher,6.6,2012-12-20,en,"[80, 18, 53, 28]",True
238,The Godfather,8.7,1972-03-14,en,"[18, 80]",True
